Stasjonsnr;corr-jan;corr-feb;corr-mars;corr-april;corr-mai;corr-juni;corr-juli;mindex-jan;mindex-feb;mindex-mars;mindex-april;mindex-mai;mindex-juni;mindex-juli;TOPP;TOPP Q;WSZ;WRRatio
2.323;0.005763478;-0.013593693;-0.038227878;-9.988045e-05;0.152370867;-0.025153445;0.049960506;129.0;98.0;70.0;39.0;12.0;23.0;17.0;mai;mai;0.7984674;0.16466914
2.604;0.123159674;0.088856779;0.154265622;2.529055e-01;0.379152536;0.770054221;0.197912494;140.0;109.0;81.0;50.0;20.0;9.0;7.5;mai;mai;0.8861303;0.10353833
20.2;0.196302744;0.354979182;0.335553535;4.467409e-01;0.604991558;0.464001690;0.236859143;129.0;98.0;69.5;40.0;13.0;13.5;6.0;mai;mai;0.7510600;0.26127568
21.47;-0.235412791;-0.152220141;-0.073737426;-2.737553e-02;-0.016031221;0.353497764;0.092248609;147.5;116.5;88.5;57.5;27.5;12.0;10.0;mai;mai;0.9147382;0.07754084
234.18;-0.015955916;-0.034939294;0.040122508;4.960123e-02;0.325392080;0.832362869;0.611977977;145.0;114.0;86.0;55.0;25.0;4.0;3.0;mai/juni;mai;0.9473308;0.04098763
247.3;0.117367603;0.120161131;0.166418408;2.248363e-01;0.418246768;0.858003257;0.519172166;142.5;111.5;83.5;52.5;22.5;4.0;5.0;mai;mai;0.9023755;0.05954029
26.26;-0.021836908;-0.004602424;0.036251622;2.148297e-03;0.007213244;0.178262558;0.104875967;142.0;111.0;82.0;51.0;22.0;11.0;12.0;mai/juni;mai;0.8507791;0.16766143
311.46;0.278173797;0.284644356;0.366668728;4.529606e-01;0.560004191;0.823984032;0.537236723;0 137.0;106.0;78.0;47.0;17.0;1.0;1.0;mai;mai;0.8897063;0.09875686
42.2;-0.197144654;-0.040214901;-0.090192310;-8.873771e-02;0.046753358;0.025973166;0.022470335;77.0;67.5;67.0;79.5;53.5;31.5;16.0;mai;mai;0.5292465;0.64795294
79.3;0.050405751;0.122975774;0.227830584;2.358861e-01;0.319807303;0.613948357;0.621540076;140.5;111.5;83.5;55.5;28.5;14.0;15.0;mai/juni;mai;0.7867178;0.32886730

